timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-10 20:05:00,4,0,355,1,0,1,361
2017-09-10 20:06:00,14,0,345,0,0,0,359
2017-09-10 20:07:00,28,0,402,0,0,0,430
2017-09-10 20:08:00,1,0,521,0,0,0,522
2017-09-10 20:09:00,19,0,334,0,1,4,358
2017-09-10 20:10:00,2,0,546,0,0,1,549
2017-09-10 20:11:00,5,0,650,0,0,0,655
2017-09-10 20:12:00,8,0,292,0,0,0,300
2017-09-10 20:13:00,18,0,192,0,0,0,210
2017-09-10 20:14:00,3,0,202,0,0,1,206
2017-09-10 20:15:00,9,0,254,0,0,0,263
2017-09-10 20:16:00,19,0,176,0,0,0,195
2017-09-10 20:17:00,10,0,306,0,0,0,316
2017-09-10 20:18:00,4,0,373,0,0,0,377
2017-09-10 20:19:00,16,0,228,0,1,0,245
2017-09-10 20:20:00,4,0,218,0,0,1,223
2017-09-10 20:21:00,17,0,211,0,0,0,228
2017-09-10 20:22:00,9,0,159,0,0,0,168
2017-09-10 20:23:00,14,0,386,0,0,2,402
2017-09-10 20:24:00,1,0,373,0,0,1,375
2017-09-10 20:25:00,25,0,285,0,0,0,310
2017-09-10 20:26:00,4,0,391,0,2,0,397
2017-09-10 20:27:00,4,0,269,2,0,0,275
2017-09-10 20:28:00,0,0,331,0,0,1,332
2017-09-10 20:29:00,3,0,345,0,1,3,352
2017-09-10 20:30:00,5,0,396,0,0,2,403
2017-09-10 20:31:00,5,0,588,0,0,0,593
2017-09-10 20:32:00,11,0,340,0,0,0,351
2017-09-10 20:33:00,9,0,349,0,0,6,364
2017-09-10 20:34:00,8,0,357,0,0,0,365
2017-09-10 20:35:00,1,0,440,0,1,1,443
2017-09-10 20:36:00,5,0,460,1,0,1,467
2017-09-10 20:37:00,9,0,344,0,0,0,353
2017-09-10 20:38:00,0,0,366,0,1,3,370
2017-09-10 20:39:00,12,0,419,0,0,3,434
2017-09-10 20:40:00,8,0,336,0,0,0,344
2017-09-10 20:41:00,20,0,147,0,0,1,168
2017-09-10 20:42:00,13,0,234,0,1,0,248
2017-09-10 20:43:00,11,0,297,0,0,0,308
2017-09-10 20:44:00,20,0,385,0,0,0,405
2017-09-10 20:45:00,9,0,336,0,0,0,345
2017-09-10 20:46:00,38,0,449,0,0,0,487
2017-09-10 20:47:00,30,0,309,0,0,0,339
2017-09-10 20:48:00,49,0,448,0,0,0,497
2017-09-10 20:49:00,47,0,147,0,0,1,195
2017-09-10 20:50:00,24,0,212,0,0,0,236
2017-09-10 20:51:00,6,0,338,0,0,0,344
2017-09-10 20:52:00,8,0,440,1,1,6,456
2017-09-10 20:53:00,21,0,216,0,0,3,240
2017-09-10 20:54:00,11,0,204,0,1,0,216
2017-09-10 20:55:00,5,0,242,0,0,0,247
2017-09-10 20:56:00,6,0,244,0,1,1,252
2017-09-10 20:57:00,2,0,161,0,0,1,164
2017-09-10 20:58:00,1,0,375,0,3,0,379
2017-09-10 20:59:00,1,0,290,0,0,0,291
2017-09-10 21:00:00,1,0,369,0,0,3,373
2017-09-10 21:01:00,5,0,301,0,0,0,306
2017-09-10 21:02:00,3,0,374,0,0,0,377
2017-09-10 21:03:00,3,0,502,0,1,0,506
2017-09-10 21:04:00,1,0,435,0,0,0,436
2017-09-10 21:05:00,3,0,381,0,0,0,384
2017-09-10 21:06:00,1,0,350,0,0,0,351
2017-09-10 21:07:00,8,0,199,0,0,0,207
2017-09-10 21:08:00,2,0,166,0,0,0,168
2017-09-10 21:09:00,3,0,413,0,0,0,416
