timestamp,lane,frame,fps,person,car,bus,truck,motorcycle,bicycle,emergency_vehicle,audio_siren_detected,total_vehicle_count
2025-12-05 13:15:57,2,81,4.26,0,22,0,0,0,0,0,False,22
2025-12-05 13:15:57,2,82,4.14,0,17,1,0,0,0,0,False,18
2025-12-05 13:15:57,2,83,4.19,0,15,0,0,0,0,0,False,15
2025-12-05 13:15:58,2,84,4.18,0,15,0,0,0,0,0,False,15
2025-12-05 13:15:58,2,85,4.18,0,14,0,0,0,0,0,False,14
2025-12-05 13:15:58,2,86,4.1,0,12,0,0,0,0,0,False,12
2025-12-05 13:15:58,2,87,4.32,0,13,1,0,0,0,0,False,14
2025-12-05 13:15:59,2,88,4.05,0,11,1,0,0,0,0,False,12
2025-12-05 13:15:59,2,89,4.51,0,11,0,0,0,0,0,False,11
2025-12-05 13:15:59,2,90,4.62,0,11,1,0,0,0,0,False,12
2025-12-05 13:15:59,2,91,4.26,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:00,2,92,4.3,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:00,2,93,4.41,0,12,1,0,0,0,0,False,13
2025-12-05 13:16:00,2,94,3.47,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:00,2,95,4.27,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:01,2,96,4.3,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:01,2,97,4.26,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:01,2,98,4.26,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:01,2,99,4.31,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:02,2,100,4.29,0,13,0,0,0,0,0,False,13
2025-12-05 13:16:02,2,101,4.3,0,12,1,0,0,0,0,False,13
2025-12-05 13:16:02,2,102,4.28,0,13,1,0,0,0,0,False,14
2025-12-05 13:16:02,2,103,4.33,0,13,1,0,0,0,0,False,14
2025-12-05 13:16:03,2,104,4.31,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:03,2,105,4.32,0,13,0,0,0,0,0,False,13
2025-12-05 13:16:03,2,106,4.38,0,13,0,0,0,0,0,False,13
2025-12-05 13:16:03,2,107,4.32,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:04,2,108,4.33,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:04,2,109,4.26,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:04,2,110,4.39,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:04,2,111,4.54,0,12,1,0,0,0,0,False,13
2025-12-05 13:16:05,2,112,4.56,0,10,0,0,0,0,0,False,10
2025-12-05 13:16:05,2,113,4.38,0,17,1,0,0,0,0,False,18
2025-12-05 13:16:05,2,114,4.53,0,14,1,0,0,0,0,False,15
2025-12-05 13:16:05,2,115,3.47,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:06,2,116,3.31,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:06,2,117,6.43,0,13,1,0,0,0,0,False,14
2025-12-05 13:16:06,2,118,7.29,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:06,2,119,6.47,0,10,0,0,0,0,0,False,10
2025-12-05 13:16:06,2,120,6.64,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:07,2,121,6.81,0,12,1,0,0,0,0,False,13
2025-12-05 13:16:07,2,122,6.74,0,12,0,0,0,0,0,False,12
2025-12-05 13:16:07,2,123,6.6,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:07,2,124,6.83,0,11,0,0,0,0,0,False,11
2025-12-05 13:16:07,2,125,6.8,0,9,1,0,0,0,0,False,10
2025-12-05 13:16:07,2,126,7.02,0,9,0,0,0,0,0,False,9
2025-12-05 13:16:07,2,127,7.48,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:08,2,128,7.24,0,8,0,0,0,0,0,False,8
2025-12-05 13:16:08,2,129,1.8,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:09,2,130,1.51,0,9,1,0,0,0,0,False,10
2025-12-05 13:16:10,2,131,1.21,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:11,2,132,0.86,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:12,2,133,0.8,0,10,1,0,0,0,0,False,11
2025-12-05 13:16:13,2,134,1.81,0,9,1,0,0,0,0,False,10
2025-12-05 13:16:14,2,135,1.8,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:14,2,136,1.85,0,11,1,0,0,0,0,False,12
2025-12-05 13:16:15,2,137,1.15,0,10,1,0,0,0,0,False,11
