timestamp,frame,fps,person,car,bus,truck,motorcycle,bicycle,emergency_vehicle,audio_siren_detected,total_vehicle_count
2025-12-02 05:34:33,1,1.97,1,0,0,0,0,0,0,False,1
2025-12-02 05:34:34,2,4.78,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:34,3,7.2,1,0,0,0,0,0,0,False,1
2025-12-02 05:34:34,4,6.59,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:34,5,6.58,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:34,6,6.58,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:35,7,5.18,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:35,8,6.14,0,0,0,0,0,0,0,False,0
2025-12-02 05:34:35,9,4.81,0,2,0,0,0,0,0,False,2
2025-12-02 05:34:35,10,5.75,0,3,0,0,0,0,0,False,3
2025-12-02 05:34:35,11,6.79,0,2,0,0,0,0,0,False,2
2025-12-02 05:34:35,12,6.22,0,2,0,0,0,0,0,False,2
2025-12-02 05:34:36,13,6.54,0,4,0,0,0,0,0,False,4
2025-12-02 05:34:36,14,1.64,0,6,0,0,0,0,0,False,6
2025-12-02 05:34:36,15,4.06,0,5,0,0,0,0,0,False,5
2025-12-02 05:34:37,16,4.95,0,4,0,0,0,0,0,False,4
2025-12-02 05:34:37,17,4.85,0,5,0,0,0,0,0,False,5
2025-12-02 05:34:37,18,5.0,0,3,0,0,0,0,0,False,3
2025-12-02 05:34:37,19,4.86,0,3,0,0,0,0,0,False,3
2025-12-02 05:34:38,20,4.86,0,3,0,0,0,0,0,False,3
2025-12-02 05:34:38,21,5.6,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:38,22,6.61,1,3,0,0,0,0,0,True,4
2025-12-02 05:34:38,23,6.68,1,1,0,0,0,0,0,True,2
2025-12-02 05:34:38,24,7.08,1,2,0,0,0,0,0,True,3
2025-12-02 05:34:38,25,7.02,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:39,26,6.9,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:39,27,7.29,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:39,28,7.03,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:39,29,6.81,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:39,30,7.28,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:39,31,6.73,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:40,32,4.92,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:40,33,6.02,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:40,34,5.84,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:40,35,5.16,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:40,36,4.7,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:41,37,5.87,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:41,38,6.8,0,0,1,0,0,0,0,True,1
2025-12-02 05:34:41,39,6.57,0,1,1,0,0,0,0,True,2
2025-12-02 05:34:41,40,5.28,0,2,1,1,0,0,0,True,4
2025-12-02 05:34:41,41,6.45,0,2,1,1,0,0,0,True,4
2025-12-02 05:34:41,42,6.62,0,2,1,1,0,0,0,True,4
2025-12-02 05:34:42,43,6.5,0,2,1,0,0,0,0,True,3
2025-12-02 05:34:42,44,6.59,0,3,1,1,0,0,0,True,5
2025-12-02 05:34:42,45,6.37,0,3,1,1,0,0,0,True,5
2025-12-02 05:34:42,46,6.55,0,3,1,1,0,0,0,True,5
2025-12-02 05:34:42,47,7.0,0,3,1,1,0,0,0,True,5
2025-12-02 05:34:42,48,6.55,0,2,0,1,0,0,0,True,3
2025-12-02 05:34:42,49,6.58,0,3,0,1,0,0,0,True,4
2025-12-02 05:34:43,50,6.36,0,3,0,1,0,0,0,True,4
2025-12-02 05:34:43,51,6.19,0,4,0,1,0,0,1,True,6
2025-12-02 05:34:43,52,6.11,0,4,0,1,0,0,1,True,6
2025-12-02 05:34:43,53,6.46,0,3,0,1,0,0,1,True,5
2025-12-02 05:34:43,54,6.79,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:43,55,7.17,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:44,56,6.82,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:44,57,7.21,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:44,58,4.62,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:44,59,4.8,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:44,60,5.81,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:45,61,7.05,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:45,62,6.25,0,0,0,1,0,0,0,True,1
2025-12-02 05:34:45,63,6.81,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:45,64,6.75,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:45,65,6.73,0,0,1,1,0,0,0,True,2
2025-12-02 05:34:45,66,6.28,0,0,0,1,0,0,0,True,1
2025-12-02 05:34:46,67,6.7,0,0,0,1,0,0,0,True,1
2025-12-02 05:34:46,68,6.7,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:46,69,6.57,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:46,70,6.63,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:46,71,6.65,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:46,72,6.17,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:47,73,6.57,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:47,74,6.62,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:47,75,6.46,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:47,76,6.68,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:47,77,6.38,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:47,78,5.84,0,1,0,1,0,0,1,True,3
2025-12-02 05:34:48,79,5.54,0,1,0,1,0,0,1,True,3
2025-12-02 05:34:48,80,5.47,0,0,0,2,0,0,1,True,3
2025-12-02 05:34:48,81,4.34,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:48,82,5.7,0,0,0,2,0,0,0,True,2
2025-12-02 05:34:48,83,4.48,0,0,0,2,0,0,1,True,3
2025-12-02 05:34:49,84,4.81,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:49,85,5.36,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:49,86,4.58,0,1,1,1,0,0,1,True,4
2025-12-02 05:34:49,87,4.98,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:49,88,5.31,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:50,89,5.35,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:50,90,4.69,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:50,91,5.85,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:50,92,7.29,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:50,93,6.66,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:51,94,6.79,0,0,1,1,0,0,0,True,2
2025-12-02 05:34:51,95,5.79,0,0,1,0,0,0,0,True,1
2025-12-02 05:34:51,96,5.49,0,0,1,0,0,0,1,True,2
2025-12-02 05:34:51,97,5.15,0,1,1,0,0,0,1,True,3
2025-12-02 05:34:51,98,7.33,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:51,99,6.86,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:52,100,7.28,0,2,1,0,0,0,0,True,3
2025-12-02 05:34:52,101,7.45,0,2,0,1,0,0,0,True,3
2025-12-02 05:34:52,102,7.17,0,2,0,1,0,0,0,True,3
2025-12-02 05:34:52,103,7.14,0,3,0,1,0,0,0,True,4
2025-12-02 05:34:52,104,7.35,0,6,0,0,0,0,0,True,6
2025-12-02 05:34:52,105,7.17,0,5,0,0,0,0,1,True,6
2025-12-02 05:34:53,106,7.28,0,4,1,0,0,0,0,True,5
2025-12-02 05:34:53,107,6.23,0,5,0,0,0,0,0,True,5
2025-12-02 05:34:53,108,4.7,0,4,0,0,0,0,0,True,4
2025-12-02 05:34:53,109,4.65,0,3,0,0,0,0,0,True,3
2025-12-02 05:34:53,110,5.01,0,3,0,0,0,0,0,True,3
2025-12-02 05:34:54,111,5.25,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:54,112,5.1,0,3,0,0,0,0,1,True,4
2025-12-02 05:34:54,113,4.93,0,2,0,0,0,0,1,True,3
2025-12-02 05:34:54,114,4.4,0,1,0,0,0,0,1,True,2
2025-12-02 05:34:54,115,5.51,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:55,116,4.74,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:55,117,5.23,0,2,0,0,0,0,0,True,2
2025-12-02 05:34:55,118,5.04,0,2,1,0,0,0,0,True,3
2025-12-02 05:34:55,119,5.07,0,1,1,0,0,0,0,True,2
2025-12-02 05:34:55,120,6.82,0,2,1,0,0,0,0,True,3
2025-12-02 05:34:56,121,6.82,0,1,1,0,0,0,0,True,2
2025-12-02 05:34:56,122,6.72,0,1,1,0,0,0,0,True,2
2025-12-02 05:34:56,123,6.8,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:56,124,6.05,0,1,1,0,0,0,0,True,2
2025-12-02 05:34:56,125,6.48,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:56,126,6.64,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:57,127,7.02,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:57,128,6.79,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:57,129,7.24,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:57,130,6.82,0,1,0,0,0,0,0,True,1
2025-12-02 05:34:57,131,7.96,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:57,132,5.86,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:58,133,5.79,0,0,0,0,0,0,0,True,0
2025-12-02 05:34:58,134,4.61,0,0,1,0,0,0,0,True,1
2025-12-02 05:34:58,135,5.45,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:58,136,6.54,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:58,137,6.81,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:58,138,6.96,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:59,139,7.26,0,0,1,1,0,0,1,True,3
2025-12-02 05:34:59,140,7.37,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:59,141,7.26,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:59,142,6.76,0,1,0,1,0,0,1,True,3
2025-12-02 05:34:59,143,6.23,0,0,0,1,0,0,1,True,2
2025-12-02 05:34:59,144,6.45,0,0,0,1,0,0,1,True,2
2025-12-02 05:35:00,145,6.05,0,0,0,1,0,0,1,True,2
2025-12-02 05:35:00,146,7.33,0,0,1,1,0,0,1,True,3
